MSOA11CD,RGN11NM
E02002488,North East
E02002487,North East
E02002490,North East
E02002483,North East
E02002485,North East
E02002489,North East
E02006909,North East
E02002492,North East
E02002484,North East
E02002493,North East
E02002491,North East
E02002494,North East
E02002503,North East
E02002504,North East
E02002514,North East
E02006811,North East
E02002502,North East
E02002506,North East
E02002510,North East
E02002501,North East
E02002513,North East
E02002498,North East
E02002496,North East
E02002499,North East
E02002509,North East
E02002512,North East
E02002500,North East
E02002497,North East
E02002505,North East
E02002507,North East
E02002508,North East
E02002532,North East
E02002519,North East
E02002521,North East
E02002526,North East
E02002525,North East
E02002520,North East
E02002518,North East
E02006812,North East
E02002516,North East
E02002529,North East
E02006910,North East
E02002530,North East
E02002517,North East
E02002524,North East
E02002527,North East
E02002515,North East
E02002534,North East
E02002533,North East
E02002523,North East
E02002549,North East
E02002547,North East
E02002540,North East
E02002543,North East
E02002555,North East
E02002556,North East
E02002535,North East
E02002545,North East
E02002546,North East
E02002536,North East
E02002544,North East
E02002538,North East
E02002551,North East
E02002554,North East
E02002552,North East
E02002537,North East
E02002548,North East
E02002557,North East
E02002541,North East
E02002550,North East
E02002542,North East
E02002553,North East
E02002558,North East
E02002539,North East
E02002563,North East
E02002561,North East
E02002569,North East
E02002573,North East
E02002559,North East
E02002570,North East
E02002567,North East
E02002568,North East
E02002562,North East
E02002566,North East
E02002572,North East
E02002565,North East
E02002564,North East
E02002571,North East
E02002560,North East
E02002586,North West
E02002580,North West
E02002585,North West
E02002579,North West
E02002589,North West
E02002583,North West
E02002577,North West
E02002578,North West
E02002584,North West
E02002575,North West
E02002582,North West
E02002574,North West
E02002581,North West
E02002588,North West
E02002587,North West
E02002576,North West
E02002614,North West
E02002593,North West
E02002613,North West
E02002610,North West
E02002598,North West
E02002608,North West
E02002607,North West
E02002602,North West
E02002594,North West
E02002596,North West
E02002603,North West
E02002592,North West
E02002590,North West
E02002601,North West
E02002600,North West
E02002612,North West
E02002605,North West
E02002606,North West
E02002599,North West
E02002591,North West
E02002609,North West
E02002611,North West
E02002604,North West
E02002595,North West
E02002597,North West
E02002622,North West
E02002619,North West
E02002631,North West
E02002629,North West
E02002624,North West
E02002620,North West
E02002616,North West
E02002628,North West
E02002630,North West
E02002615,North West
E02002626,North West
E02002623,North West
E02002627,North West
E02002617,North West
E02002621,North West
E02002625,North West
E02002632,North West
E02002618,North West
E02002638,North West
E02002640,North West
E02002647,North West
E02002634,North West
E02002636,North West
E02002642,North West
E02002643,North West
E02002649,North West
E02002645,North West
E02002639,North West
E02002641,North West
E02002646,North West
E02002648,North West
E02002650,North West
E02002651,North West
E02002644,North West
E02002637,North West
E02002635,North West
E02002633,North West
E02002677,Yorkshire and The Humber
E02002665,Yorkshire and The Humber
E02002656,Yorkshire and The Humber
E02002673,Yorkshire and The Humber
E02002667,Yorkshire and The Humber
E02002663,Yorkshire and The Humber
E02002658,Yorkshire and The Humber
E02002670,Yorkshire and The Humber
E02002666,Yorkshire and The Humber
E02002680,Yorkshire and The Humber
E02002675,Yorkshire and The Humber
E02002681,Yorkshire and The Humber
E02002652,Yorkshire and The Humber
E02002653,Yorkshire and The Humber
E02002655,Yorkshire and The Humber
E02002662,Yorkshire and The Humber
E02002661,Yorkshire and The Humber
E02002660,Yorkshire and The Humber
E02002668,Yorkshire and The Humber
E02002672,Yorkshire and The Humber
E02002682,Yorkshire and The Humber
E02006813,Yorkshire and The Humber
E02002654,Yorkshire and The Humber
E02002676,Yorkshire and The Humber
E02002678,Yorkshire and The Humber
E02002664,Yorkshire and The Humber
E02002671,Yorkshire and The Humber
E02002679,Yorkshire and The Humber
E02002657,Yorkshire and The Humber
E02002669,Yorkshire and The Humber
E02002674,Yorkshire and The Humber
E02002659,Yorkshire and The Humber
E02002723,Yorkshire and The Humber
E02002719,Yorkshire and The Humber
E02006892,Yorkshire and The Humber
E02002703,Yorkshire and The Humber
E02002684,Yorkshire and The Humber
E02002686,Yorkshire and The Humber
E02002724,Yorkshire and The Humber
E02006814,Yorkshire and The Humber
E02002702,Yorkshire and The Humber
E02002695,Yorkshire and The Humber
E02002717,Yorkshire and The Humber
E02002689,Yorkshire and The Humber
E02002699,Yorkshire and The Humber
E02002718,Yorkshire and The Humber
E02002711,Yorkshire and The Humber
E02002693,Yorkshire and The Humber
E02002710,Yorkshire and The Humber
E02002715,Yorkshire and The Humber
E02002692,Yorkshire and The Humber
E02002691,Yorkshire and The Humber
E02002712,Yorkshire and The Humber
E02002698,Yorkshire and The Humber
E02002697,Yorkshire and The Humber
E02002707,Yorkshire and The Humber
E02002705,Yorkshire and The Humber
E02006891,Yorkshire and The Humber
E02002721,Yorkshire and The Humber
E02002709,Yorkshire and The Humber
E02002716,Yorkshire and The Humber
E02002694,Yorkshire and The Humber
E02002725,Yorkshire and The Humber
E02002722,Yorkshire and The Humber
E02002685,Yorkshire and The Humber
E02002687,Yorkshire and The Humber
E02002706,Yorkshire and The Humber
E02002708,Yorkshire and The Humber
E02002700,Yorkshire and The Humber
E02002696,Yorkshire and The Humber
E02002701,Yorkshire and The Humber
E02002688,Yorkshire and The Humber
E02002704,Yorkshire and The Humber
E02002714,Yorkshire and The Humber
E02002720,Yorkshire and The Humber
E02002727,Yorkshire and The Humber
E02002733,Yorkshire and The Humber
E02002732,Yorkshire and The Humber
E02002731,Yorkshire and The Humber
E02002734,Yorkshire and The Humber
E02002729,Yorkshire and The Humber
E02002736,Yorkshire and The Humber
E02002737,Yorkshire and The Humber
E02002741,Yorkshire and The Humber
E02002743,Yorkshire and The Humber
E02002730,Yorkshire and The Humber
E02002735,Yorkshire and The Humber
E02002740,Yorkshire and The Humber
E02002728,Yorkshire and The Humber
E02002726,Yorkshire and The Humber
E02002748,Yorkshire and The Humber
E02002739,Yorkshire and The Humber
E02002742,Yorkshire and The Humber
E02002738,Yorkshire and The Humber
E02002745,Yorkshire and The Humber
E02002747,Yorkshire and The Humber
E02002746,Yorkshire and The Humber
E02002744,Yorkshire and The Humber
E02002761,Yorkshire and The Humber
E02002753,Yorkshire and The Humber
E02002751,Yorkshire and The Humber
E02002750,Yorkshire and The Humber
E02002752,Yorkshire and The Humber
E02002769,Yorkshire and The Humber
E02002770,Yorkshire and The Humber
E02002765,Yorkshire and The Humber
E02002766,Yorkshire and The Humber
E02002768,Yorkshire and The Humber
E02002754,Yorkshire and The Humber
E02002771,Yorkshire and The Humber
E02002759,Yorkshire and The Humber
E02002760,Yorkshire and The Humber
E02002758,Yorkshire and The Humber
E02002763,Yorkshire and The Humber
E02002749,Yorkshire and The Humber
E02002756,Yorkshire and The Humber
E02002767,Yorkshire and The Humber
E02002757,Yorkshire and The Humber
E02002762,Yorkshire and The Humber
E02002755,Yorkshire and The Humber
E02002764,Yorkshire and The Humber
E02002790,Yorkshire and The Humber
E02002778,Yorkshire and The Humber
E02002794,Yorkshire and The Humber
E02002773,Yorkshire and The Humber
E02002793,Yorkshire and The Humber
E02002774,Yorkshire and The Humber
